_id,date(mmm-yy),population_group,returned_from_housing,returned_to_shelter,newly_identified,moved_to_housing,became_inactive,actively_homeless,age__under_16,age_16-24,age_25-44,age_45-64,age_65over,gender_male,gender_female,"gender_transgender,non-binary_or_two_spirit",population_group_percentage_
241,nov-20,6,6,30,50,147,56,1096,258,163,455,202,18,82,88,12,14.5%
242,nov-20,3,9,11,186,240,64,1359,679,174,369,131,6,56,104,1,17.9%
243,nov-20,8,11,40,69,40,71,714,0,714,0,0,0,9,8,22,9.4%
244,nov-20,7,33,435,343,125,471,5513,0,0,2632,2351,498,320,242,79,72.7%
245,nov-20,5,47,456,548,258,550,6490,452,726,2546,2280,486,356,371,89,85.6%
246,dec-20,1,91,484,621,375,606,7741,661,887,3090,2566,537,439,421,106,100.0%
247,dec-20,2,20,35,212,202,71,3533,205,357,1180,1436,355,241,136,49,45.6%
248,dec-20,6,28,21,61,131,51,1024,226,160,423,195,20,66,85,11,13.2%
249,dec-20,3,23,27,161,215,64,1288,633,158,355,133,9,45,101,1,16.6%
250,dec-20,8,16,39,80,29,71,729,0,729,0,0,0,12,10,23,9.4%
251,dec-20,7,52,418,380,131,471,5724,0,0,2735,2433,528,337,256,83,73.9%
252,dec-20,5,63,463,560,244,555,6717,435,727,2667,2371,517,381,379,96,86.8%
253,jan-21,1,84,425,647,346,660,7829,619,892,3165,2607,546,446,423,113,100.0%
254,jan-21,2,16,23,303,209,92,3550,203,342,1194,1452,359,240,137,55,45.3%
255,jan-21,6,13,23,66,107,39,995,219,153,406,201,16,64,82,12,12.7%
256,jan-21,3,16,15,158,154,67,1239,601,147,351,130,10,34,99,1,15.8%
257,jan-21,8,12,45,89,35,77,752,0,752,0,0,0,14,15,29,9.6%
258,jan-21,7,56,365,400,157,516,5838,0,0,2814,2477,536,347,264,92,74.6%
259,jan-21,5,71,402,581,239,621,6834,400,739,2759,2406,530,391,385,108,87.3%
260,jan-21,4,11,99,41,12,90,895,6,96,494,274,25,47,31,32,11.4%
261,feb-21,1,88,389,590,297,670,7871,609,884,3226,2599,553,450,422,121,100.0%
262,feb-21,2,21,26,286,169,86,3601,220,332,1214,1467,368,243,141,58,45.8%
263,feb-21,6,13,22,68,67,39,996,223,148,408,200,17,62,83,12,12.7%
264,feb-21,3,17,4,149,125,62,1221,590,139,348,134,10,36,97,1,15.5%
265,feb-21,8,15,39,87,45,66,743,0,743,0,0,0,11,13,33,9.4%
266,feb-21,7,56,346,354,127,542,5907,0,0,2878,2465,543,351,268,99,75.0%
267,feb-21,5,75,367,522,230,631,6875,386,736,2818,2399,536,396,383,112,87.3%
268,feb-21,4,8,95,49,35,73,927,5,100,526,266,30,57,38,35,11.8%
269,mar-21,1,71,389,539,341,725,7745,584,863,3186,2573,539,441,418,133,100.0%
270,mar-21,2,18,20,295,186,113,3615,222,320,1234,1478,361,245,142,58,46.7%
271,mar-21,6,12,13,47,80,34,961,227,141,384,194,15,51,76,9,12.4%
272,mar-21,3,12,14,113,124,72,1165,570,127,340,121,7,23,95,2,15.0%
273,mar-21,8,20,36,92,52,83,735,0,735,0,0,0,10,6,41,9.5%
274,mar-21,7,39,339,334,165,570,5845,0,0,2846,2452,532,346,263,103,75.5%
275,mar-21,5,59,376,492,261,691,6784,357,722,2802,2379,524,386,374,124,87.6%
276,mar-21,4,7,74,39,25,101,912,3,99,513,267,30,45,37,39,11.8%
277,apr-21,1,69,309,480,268,778,7516,573,906,3010,2499,528,428,415,137,100.0%
278,apr-21,2,16,18,283,165,122,3627,217,312,1244,1498,356,244,143,59,48.3%
279,apr-21,6,16,14,41,45,52,939,223,145,374,182,15,42,70,9,12.5%
280,apr-21,3,16,13,132,91,76,1157,559,134,332,125,7,23,94,2,15.4%
281,apr-21,8,15,37,95,29,69,771,0,771,0,0,0,13,16,46,10.3%
282,apr-21,7,38,259,253,148,633,5588,0,0,2678,2374,521,321,251,104,74.3%
283,apr-21,5,53,295,439,223,726,6577,350,761,2636,2317,513,360,369,130,87.5%
284,apr-21,4,7,57,37,18,131,861,4,94,483,251,29,30,30,39,11.5%
285,may-21,1,78,485,626,278,784,7575,569,901,3083,2492,530,431,419,130,100.0%
286,may-21,2,16,36,346,159,95,3739,230,308,1318,1520,363,250,154,61,49.4%
287,may-21,6,10,22,43,46,30,939,220,144,376,182,17,42,71,8,12.4%
