_id,date(mmm-yy),population_group,returned_from_housing,returned_to_shelter,newly_identified,moved_to_housing,became_inactive,actively_homeless,age__under_16,age_16-24,age_25-44,age_45-64,age_65over,gender_male,gender_female,"gender_transgender,non-binary_or_two_spirit",population_group_percentage_
208,jun-20,8,11,41,45,39,85,701,0,701,0,0,0,6,6,27,0.091
209,jun-20,7,25,254,190,129,619,4878,0,0,2317,2102,426,290,198,62,0.636
210,jun-20,5,36,308,325,205,705,5751,394,660,2179,2079,439,309,311,81,0.75
211,jul-20,1,87,530,552,512,712,7552,911,878,2962,2331,470,413,421,95,1
212,jul-20,2,27,29,414,302,170,3598,415,439,1135,1279,330,237,161,35,0.47600000000000003
213,jul-20,6,22,23,59,308,68,1643,498,209,640,270,26,111,101,10,0.218
214,jul-20,3,29,42,164,326,52,1951,897,176,591,250,37,113,128,6,0.258
215,jul-20,8,14,44,55,37,73,693,0,693,0,0,0,3,8,27,0.092
216,jul-20,7,44,444,333,149,587,4908,0,0,2371,2081,433,291,198,63,0.65
217,jul-20,5,65,507,493,204,644,5909,413,669,2322,2061,444,319,324,84,0.782
218,aug-20,1,89,434,628,477,595,7580,879,891,3011,2336,463,414,422,100,1
219,aug-20,2,21,39,504,308,120,3835,440,446,1261,1367,321,248,189,44,0.506
220,aug-20,6,28,21,79,224,50,1487,449,191,580,243,24,106,96,11,0.196
221,aug-20,3,23,45,213,264,72,1881,872,186,566,226,31,112,124,5,0.248
222,aug-20,8,18,32,81,43,75,697,0,697,0,0,0,5,8,25,0.092
223,aug-20,7,48,357,334,170,448,5002,0,0,2445,2110,432,295,210,70,0.66
224,aug-20,5,61,413,549,253,545,6093,430,700,2431,2093,439,325,342,88,0.804
225,sep-20,1,82,385,595,522,584,7572,806,895,2988,2390,493,415,420,99,1
226,sep-20,2,11,38,374,356,102,3776,377,411,1255,1399,334,247,175,43,0.499
227,sep-20,6,19,24,64,284,50,1412,381,191,568,246,26,105,91,14,0.187
228,sep-20,3,16,22,217,332,71,1615,803,175,476,150,11,95,115,2,0.213
229,sep-20,8,14,43,87,47,68,713,0,713,0,0,0,8,11,18,0.094
230,sep-20,7,52,320,291,143,445,5244,0,0,2512,2240,482,303,224,79,0.693
231,sep-20,5,63,361,531,238,534,6160,425,704,2420,2144,467,326,351,84,0.8140000000000001
232,oct-20,1,88,431,636,444,721,7506,764,891,2904,2429,518,417,419,99,1
233,oct-20,2,24,44,296,289,126,3695,301,382,1242,1416,354,246,156,42,0.49200000000000005
234,oct-20,6,22,18,49,206,71,1215,305,170,497,220,23,93,88,12,0.162
235,oct-20,3,25,19,210,264,90,1463,735,169,412,136,11,77,108,2,0.195
236,oct-20,8,14,33,95,38,71,720,0,720,0,0,0,10,10,22,0.096
237,oct-20,7,49,379,331,142,560,5323,0,0,2492,2293,507,306,225,75,0.7090000000000001
238,oct-20,5,66,413,587,238,650,6291,459,721,2407,2209,495,341,356,86,0.838
239,nov-20,1,53,486,598,405,606,7586,710,889,3001,2482,504,426,418,101,1
240,nov-20,2,12,32,209,250,127,3552,238,365,1172,1429,348,241,137,45,0.46799999999999997
241,nov-20,6,6,30,50,147,56,1096,258,163,455,202,18,81,86,12,0.145
242,nov-20,3,9,11,186,240,64,1359,679,174,369,131,6,55,102,1,0.179
243,nov-20,8,11,40,69,40,71,714,0,714,0,0,0,9,7,22,0.094
244,nov-20,7,33,435,343,125,471,5513,0,0,2632,2351,498,316,239,79,0.727
245,nov-20,5,47,456,548,258,550,6490,452,726,2546,2280,486,352,367,89,0.856
246,dec-20,1,91,484,621,375,606,7741,661,887,3090,2566,537,434,415,106,1
247,dec-20,2,20,35,212,202,71,3533,205,357,1180,1436,355,240,134,49,0.456
248,dec-20,6,28,21,61,131,51,1024,226,160,423,195,20,65,83,11,0.132
249,dec-20,3,23,27,161,215,64,1288,633,158,355,133,9,44,99,1,0.166
250,dec-20,8,16,39,80,29,71,729,0,729,0,0,0,12,9,23,0.094
251,dec-20,7,52,418,380,131,471,5724,0,0,2735,2433,528,333,253,83,0.7390000000000001
252,dec-20,5,63,463,560,244,555,6717,435,727,2667,2371,517,377,375,96,0.868
253,jan-21,1,84,425,647,346,660,7829,619,892,3165,2607,546,441,417,113,1
254,jan-21,2,16,23,303,209,92,3550,203,342,1194,1452,359,239,135,55,0.45299999999999996
255,jan-21,6,13,23,66,107,39,995,219,153,406,201,16,63,80,12,0.127
256,jan-21,3,16,15,158,154,67,1239,601,147,351,130,10,33,97,1,0.158
257,jan-21,8,12,45,89,35,77,752,0,752,0,0,0,14,14,29,0.096
258,jan-21,7,56,365,400,157,516,5838,0,0,2814,2477,536,343,261,92,0.746
259,jan-21,5,71,402,581,239,621,6834,400,739,2759,2406,530,387,381,108,0.873
260,jan-21,4,11,99,41,12,90,895,6,96,494,274,25,46,30,32,0.114
261,feb-21,1,88,389,590,297,670,7871,609,884,3226,2599,553,445,416,121,1
262,feb-21,2,21,26,286,169,86,3601,220,332,1214,1467,368,242,139,58,0.45799999999999996
263,feb-21,6,13,22,68,67,39,996,223,148,408,200,17,61,81,12,0.127
264,feb-21,3,17,4,149,125,62,1221,590,139,348,134,10,35,95,1,0.155
265,feb-21,8,15,39,87,45,66,743,0,743,0,0,0,11,12,33,0.094
266,feb-21,7,56,346,354,127,542,5907,0,0,2878,2465,543,347,264,99,0.75
267,feb-21,5,75,367,522,230,631,6875,386,736,2818,2399,536,392,379,112,0.873
268,feb-21,4,8,95,49,35,73,927,5,100,526,266,30,56,37,35,0.11800000000000001
269,mar-21,1,71,389,539,341,725,7745,584,863,3186,2573,539,436,412,133,1
270,mar-21,2,18,20,295,186,113,3615,222,320,1234,1478,361,244,140,58,0.467
271,mar-21,6,12,13,47,80,34,961,227,141,384,194,15,50,74,9,0.124
272,mar-21,3,12,14,113,124,72,1165,570,127,340,121,7,22,93,2,0.15
273,mar-21,8,20,36,92,52,83,735,0,735,0,0,0,10,5,41,0.095
274,mar-21,7,39,339,334,165,570,5845,0,0,2846,2452,532,342,260,103,0.755
275,mar-21,5,59,376,492,261,691,6784,357,722,2802,2379,524,382,370,124,0.8759999999999999
276,mar-21,4,7,74,39,25,101,912,3,99,513,267,30,44,36,39,0.11800000000000001
277,apr-21,1,69,309,480,268,778,7516,573,906,3010,2499,528,424,409,137,1
278,apr-21,2,16,18,283,165,122,3627,217,312,1244,1498,356,243,141,59,0.483
279,apr-21,6,16,14,41,45,52,939,223,145,374,182,15,41,68,9,0.125
280,apr-21,3,16,13,132,91,76,1157,559,134,332,125,7,22,92,2,0.154
281,apr-21,8,15,37,95,29,69,771,0,771,0,0,0,13,15,46,0.10300000000000001
282,apr-21,7,38,259,253,148,633,5588,0,0,2678,2374,521,317,248,104,0.743
283,apr-21,5,53,295,439,223,726,6577,350,761,2636,2317,513,356,365,130,0.875
284,apr-21,4,7,57,37,18,131,861,4,94,483,251,29,29,29,39,0.115
285,may-21,1,78,485,626,278,784,7575,569,901,3083,2492,530,427,413,130,1
286,may-21,2,16,36,346,159,95,3739,230,308,1318,1520,363,249,152,61,0.494
287,may-21,6,10,22,43,46,30,939,220,144,376,182,17,41,69,8,0.124
288,may-21,3,11,22,152,95,69,1173,562,132,343,126,10,23,94,2,0.155
289,may-21,8,23,37,87,33,97,769,0,769,0,0,0,15,13,43,0.102
290,may-21,7,44,426,387,150,618,5633,0,0,2740,2366,520,321,259,98,0.7440000000000001
291,may-21,5,68,463,583,232,754,6636,349,757,2707,2310,513,362,377,122,0.8759999999999999
292,may-21,4,7,102,66,14,120,888,7,94,502,257,28,29,42,35,0.11699999999999999
293,jun-21,1,98,465,719,253,514,8037,618,979,3295,2594,551,449,423,136,1
294,jun-21,2,13,37,320,152,92,3840,226,326,1354,1563,371,251,162,63,0.478
295,jun-21,6,16,20,105,62,27,998,244,152,390,196,16,53,82,9,0.124
296,jun-21,3,28,13,227,97,50,1276,611,152,360,144,9,39,98,3,0.159
297,jun-21,8,16,44,102,24,66,826,0,826,0,0,0,21,20,45,0.10300000000000001
298,jun-21,7,54,408,390,132,398,5935,0,0,2935,2450,542,344,279,103,0.738
299,jun-21,5,82,445,614,191,487,7039,374,827,2905,2398,535,395,391,129,0.8759999999999999
300,jun-21,4,13,105,45,24,74,936,3,104,524,279,26,47,47,37,0.11599999999999999
301,jul-21,1,87,453,740,284,637,8322,673,972,3430,2682,565,451,425,135,1
302,jul-21,2,20,39,302,162,108,3904,247,317,1381,1578,381,252,168,65,0.469
303,jul-21,6,14,22,70,65,28,1014,258,150,390,198,18,58,85,10,0.122
304,jul-21,3,19,13,206,96,50,1356,671,143,385,145,12,55,100,1,0.163
305,jul-21,8,8,54,97,45,89,829,0,829,0,0,0,25,16,46,0.1
